target_domain,referring_domain,link_type,confidence,disavow_entry,action,notes
amzbuydeal.com,99coupondeals.com,Bookmark Spam,Verified,domain:99coupondeals.com,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,atozbookmarks.xyz,Bookmark Spam,Verified,domain:atozbookmarks.xyz,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,bookmarkadda.com,Bookmark Spam,High,domain:bookmarkadda.com,Disavow,Pligg bookmark network member
amzbuydeal.com,bookmarkdemand.com,Bookmark Spam,Verified,domain:bookmarkdemand.com,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,bookmarknode.com,Bookmark Spam,High,domain:bookmarknode.com,Disavow,Pligg bookmark network member
amzbuydeal.com,bookmarksclick.com,Bookmark Spam,Verified,domain:bookmarksclick.com,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,bookmarkstarget.com,Bookmark Spam,Verified,domain:bookmarkstarget.com,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,congressdigital.com,Bookmark Spam,Verified,domain:congressdigital.com,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,cosap.org,Bookmark Spam,High,domain:cosap.org,Disavow,Pligg bookmark network member
amzbuydeal.com,easierbookmark.com,Bookmark Spam,Verified,domain:easierbookmark.com,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,easylinksbacks.xyz,Bookmark Spam,Verified,domain:easylinksbacks.xyz,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,ebees.co,Bookmark Spam,Verified,domain:ebees.co,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,ebookmarkbase.com,Bookmark Spam,Verified,domain:ebookmarkbase.com,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,ebookmarkspot.com,Bookmark Spam,Verified,domain:ebookmarkspot.com,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,getyourstory.pe.hu,Bookmark Spam,High,domain:getyourstory.pe.hu,Disavow,Pligg bookmark network member
amzbuydeal.com,newslinkzones.xyz,Bookmark Spam,High,domain:newslinkzones.xyz,Disavow,Pligg bookmark network member
amzbuydeal.com,newsmeback.info,Bookmark Spam,High,domain:newsmeback.info,Disavow,Pligg bookmark network member
amzbuydeal.com,pligg.com,Bookmark Platform,High,domain:pligg.com,Disavow,Pligg CMS platform associated with spam network
amzbuydeal.com,popularebookmark.com,Bookmark Spam,Verified,domain:popularebookmark.com,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,reddif.info,Bookmark Spam,Verified,domain:reddif.info,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,savelivelife.com,Bookmark Spam,High,domain:savelivelife.com,Disavow,Pligg bookmark network member
amzbuydeal.com,seoinfobookmarking.esy.es,Bookmark Spam,Verified,domain:seoinfobookmarking.esy.es,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,sur.ly,Stat Scraper,Verified,domain:sur.ly,Disavow,Link preview/stat scraper site
amzbuydeal.com,thesocialbuster.com,Bookmark Spam,High,domain:thesocialbuster.com,Disavow,Pligg bookmark network member
amzbuydeal.com,thesourceweekly.com,Bookmark Spam,Verified,domain:thesourceweekly.com,Disavow,Pligg/social bookmark network via w2fr.com
amzbuydeal.com,ufile.site,Bookmark Spam,High,domain:ufile.site,Disavow,Pligg bookmark network member
